,TM,WS_AVG,TA_AVG,TA_MAX,TA_MIN,HM_AVG,SS_DAY,RN_DAY,TA_DIF
124,20140117,2.1,0.3,3.1,-1.8,74.0,6.4,0.0,4.9
125,20140117,1.5,0.2,5.9,-5.6,54.6,6.8,0.0,11.5
126,20140117,3.0,5.2,9.9,2.6,71.9,3.9,0.0,7.300000000000001
127,20140117,0.6,-2.8,4.1,-7.5,78.6,5.7,0.0,11.6
128,20140117,0.9,0.8,6.7,-3.9,75.3,5.6,0.0,10.6
129,20140117,1.6,0.8,8.1,-5.6,67.0,7.7,0.0,13.7
130,20140117,0.7,-3.6,6.8,-10.3,65.3,6.9,0.0,17.1
131,20140118,2.5,-3.1,2.1,-6.4,49.1,8.6,0.0,8.5
132,20140118,2.6,-0.9,2.9,-4.2,47.0,8.4,0.0,7.1
133,20140118,3.1,1.5,5.3,-1.6,36.8,8.4,0.0,6.9
134,20140118,3.1,-0.3,4.2,-4.4,61.4,3.6,0.0,8.600000000000001
135,20140118,1.3,-4.5,2.5,-10.0,56.0,8.2,0.0,12.5
136,20140118,1.9,-1.2,3.9,-5.3,64.4,4.2,0.0,9.2
137,20140118,3.6,1.2,6.1,-2.5,67.5,4.6,0.0,8.6
138,20140118,4.1,-0.8,4.9,-7.6,43.6,6.4,0.0,12.5
139,20140119,0.8,-4.6,1.5,-12.0,59.1,6.3,0.0,13.5
140,20140119,1.0,-3.0,2.5,-10.4,77.8,5.7,0.0,12.9
141,20140119,1.6,1.2,6.4,-3.9,29.0,9.2,0.0,10.3
142,20140119,2.3,4.9,7.3,1.9,62.9,8.4,0.0,5.4
143,20140119,0.8,-6.2,2.0,-14.6,56.1,7.5,0.0,16.6
144,20140119,1.6,-1.9,5.0,-7.0,61.9,8.3,0.0,12.0
145,20140119,1.3,0.6,6.8,-4.5,49.3,9.0,0.0,11.3
146,20140119,0.9,-1.0,7.6,-8.2,38.5,8.5,0.0,15.8
147,20140120,2.4,2.4,6.3,0.3,54.1,2.8,0.0,6.0
148,20140120,1.8,0.8,5.4,-1.5,79.1,1.6,3.6,6.9
149,20140120,2.8,5.0,9.1,1.9,58.3,4.8,0.2,7.199999999999999
150,20140120,3.5,8.5,12.0,4.4,56.5,3.7,0.0,7.6
151,20140120,2.3,2.3,6.6,-1.7,73.6,1.7,1.7,8.299999999999999
152,20140120,1.7,3.4,9.0,0.3,53.4,4.7,0.2,8.7
153,20140120,1.4,-1.4,1.5,-3.9,74.8,0.1,2.0,5.4
154,20140120,1.8,4.5,9.1,1.1,54.9,3.6,0.1,8.0
155,20140121,3.9,-4.9,-3.4,-6.6,75.8,4.7,0.0,3.2
156,20140121,2.8,-3.8,-1.7,-5.2,61.6,7.7,0.0,3.5
157,20140121,11.2,0.1,1.5,-1.7,76.3,4.0,1.0,3.2
158,20140121,2.0,-4.5,-1.7,-6.6,75.9,6.8,0.4,4.9
159,20140121,2.4,-2.5,-0.6,-5.6,72.8,0.5,1.0,5.0
160,20140121,4.4,-1.4,0.7,-2.8,69.6,3.8,0.4,3.5
161,20140121,1.4,-5.2,0.5,-10.4,69.4,5.1,0.0,10.9
162,20140122,1.0,-5.5,1.5,-13.6,66.6,8.6,0.0,15.1
163,20140122,1.0,-4.0,2.6,-10.8,70.8,9.4,0.0,13.4
164,20140122,2.6,-0.4,5.2,-4.7,41.0,8.8,0.0,9.9
165,20140122,2.9,-2.2,2.7,-5.7,59.4,9.1,0.0,8.4
166,20140122,0.7,-6.0,0.7,-11.1,68.8,8.0,0.0,11.8
167,20140122,1.7,-3.8,2.3,-9.5,66.1,9.3,0.0,11.8
168,20140122,2.5,-0.1,5.8,-5.8,59.4,8.3,0.0,11.6
169,20140122,3.1,-1.3,4.5,-6.7,37.8,8.7,0.0,11.2
170,20140123,0.6,-4.7,4.2,-11.6,81.1,6.3,0.0,15.8
171,20140123,1.0,-1.3,5.9,-8.0,86.3,8.3,0.0,13.9
172,20140123,1.9,2.4,7.8,-2.2,47.4,9.3,0.0,10.0
173,20140123,1.8,4.6,9.2,0.2,68.5,7.4,0.0,9.0
174,20140123,0.6,-7.5,3.4,-15.6,77.9,8.9,0.0,19.0
175,20140123,0.9,-1.8,6.9,-8.3,72.1,9.7,0.4,15.2
176,20140123,0.8,2.0,8.1,-4.0,54.5,9.5,0.0,12.1
177,20140123,0.7,-1.3,9.6,-8.3,51.4,8.8,0.0,17.9
178,20140124,5.2,6.6,9.4,2.7,46.1,4.5,0.0,6.7
179,20140124,1.0,3.7,10.7,-3.4,76.5,2.2,0.0,14.1
180,20140124,1.7,7.9,12.2,1.1,70.9,7.6,0.0,11.1
181,20140124,2.4,12.5,15.5,6.8,67.5,6.7,0.0,8.7
182,20140124,4.1,8.4,11.0,-0.8,64.8,0.8,0.0,11.8
183,20140124,1.5,6.1,14.5,-2.1,64.9,7.7,0.0,16.6
184,20140124,1.3,2.4,10.4,-4.3,63.6,4.8,0.0,14.7
185,20140124,1.1,6.8,13.7,-0.4,64.8,5.2,0.0,14.1
186,20140125,3.6,4.3,7.6,-0.6,86.3,0.0,1.6,8.2
187,20140125,1.3,3.6,8.1,-0.5,79.8,0.0,1.8,8.6
188,20140125,8.9,9.3,13.8,5.3,83.8,0.2,0.0,8.5
189,20140125,0.9,2.5,5.0,0.6,87.9,0.0,3.5,4.4
190,20140125,2.2,7.7,12.5,2.2,78.1,0.0,0.1,10.3
191,20140125,3.5,9.1,14.8,1.8,73.9,2.0,0.0,13.0
192,20140125,1.0,3.8,10.1,-3.3,80.3,0.0,0.3,13.4
193,20140126,1.8,-2.8,3.4,-6.2,48.1,9.5,0.0,9.6
194,20140126,2.1,-1.9,3.2,-4.8,52.8,9.7,0.0,8.0
195,20140126,2.3,3.3,8.2,-0.4,44.5,9.8,0.0,8.6
196,20140126,2.8,1.1,8.0,-4.9,48.8,9.2,0.0,12.9
197,20140126,0.8,-1.7,4.8,-5.7,67.8,8.6,0.0,10.5
198,20140126,1.7,0.6,6.7,-4.6,55.3,9.6,0.0,11.3
199,20140126,2.7,2.6,10.2,-3.7,49.9,8.4,0.0,13.9
200,20140126,3.2,1.5,7.0,-4.2,56.5,6.0,0.0,11.2
201,20140127,1.3,-2.0,5.6,-8.4,64.0,8.5,0.0,14.0
202,20140127,1.7,-1.6,5.4,-9.7,82.5,9.2,0.0,15.1
203,20140127,1.8,4.8,10.7,-1.7,47.3,9.5,0.0,12.4
204,20140127,2.2,6.9,13.1,1.4,53.5,9.3,0.0,11.7
205,20140127,1.0,-3.3,5.0,-10.6,64.0,9.2,0.0,15.6
206,20140127,1.8,0.2,8.0,-9.7,66.9,9.8,0.0,17.7
207,20140127,1.6,4.7,10.9,-1.0,53.0,9.6,0.0,11.9
208,20140127,1.1,1.1,11.4,-7.0,58.9,8.9,0.0,18.4
209,20140128,2.8,5.5,11.1,-0.8,44.3,8.9,0.0,11.9
210,20140128,1.7,3.1,8.7,-3.3,58.4,7.6,0.0,12.0
211,20140128,1.9,7.9,12.6,3.8,60.5,5.6,0.0,8.8
212,20140128,1.7,11.1,14.9,8.3,64.4,3.5,0.0,6.6
213,20140128,2.0,2.7,6.5,-4.0,62.4,6.9,0.0,10.5
214,20140128,1.4,7.2,13.0,1.8,53.8,6.0,0.0,11.2
215,20140128,2.7,4.0,9.2,-2.7,42.6,7.0,0.0,11.9
216,20140128,1.4,7.2,12.7,1.2,54.4,5.2,0.0,11.5
217,20140129,2.2,1.6,7.1,-5.2,60.8,7.7,0.0,12.3
218,20140129,0.9,0.7,8.5,-8.6,43.6,6.6,0.0,17.1
219,20140129,3.9,6.7,12.6,1.9,77.5,7.7,5.5,10.7
220,20140129,0.7,-0.7,7.4,-8.7,62.9,7.3,0.0,16.1
221,20140129,1.1,1.9,11.1,-7.2,63.0,5.6,0.0,18.3
222,20140129,1.7,4.1,14.0,-6.8,67.1,9.1,5.5,20.8
223,20140129,0.6,-0.4,11.7,-12.7,44.5,6.9,0.0,24.4
224,20140130,1.8,2.6,6.4,-2.5,63.8,2.0,2.9,8.9
225,20140130,1.4,3.3,6.5,-2.1,71.6,0.7,3.3,8.6
226,20140130,2.0,9.7,15.3,5.7,55.8,3.6,0.0,9.6
227,20140130,2.1,6.7,10.9,3.9,85.4,0.3,0.5,7.0
228,20140130,0.7,0.7,5.5,-2.3,71.3,0.0,1.0,7.8
229,20140130,1.1,5.9,9.6,0.7,91.5,0.0,1.0,8.9
230,20140130,2.1,9.1,12.9,4.8,85.5,0.8,1.5,8.100000000000001
231,20140130,3.5,9.2,15.6,4.0,62.6,2.7,0.0,11.6
232,20140131,0.7,-1.1,6.3,-6.9,58.6,8.8,0.0,13.2
233,20140131,1.2,1.9,9.4,-6.3,58.5,9.2,0.0,15.7
234,20140131,1.4,7.4,14.1,2.9,30.8,9.4,0.0,11.2
235,20140131,2.0,10.3,16.4,4.7,59.8,9.2,0.0,11.7
236,20140131,0.6,-1.6,8.0,-8.0,61.6,9.2,0.0,16.0
237,20140131,1.4,4.2,12.8,-4.1,72.1,9.0,0.0,16.9
238,20140131,0.8,7.5,13.3,1.5,53.9,9.3,0.0,11.8
239,20140131,0.7,4.1,14.5,-3.0,47.0,9.0,0.0,17.5
240,20140201,1.4,4.1,7.1,2.3,66.0,0.0,11.0,4.8
241,20140201,0.7,7.5,13.9,1.1,67.6,3.0,6.3,12.8
242,20140201,1.5,11.3,16.5,4.8,74.9,2.0,3.7,11.7
243,20140201,1.9,15.4,20.0,11.4,86.9,2.7,11.5,8.6
244,20140201,2.8,11.3,16.4,3.8,73.0,0.0,18.5,12.599999999999998
245,20140201,1.2,11.1,18.2,3.1,68.5,3.7,0.5,15.1
246,20140201,0.8,6.2,11.8,-2.0,46.8,1.2,0.1,13.8
247,20140201,0.8,11.2,17.5,2.9,74.4,2.0,0.5,14.6
248,20140202,2.4,3.7,5.6,1.9,99.0,0.0,0.4,3.7
249,20140202,1.9,8.7,12.2,5.3,74.0,0.9,0.2,6.9
250,20140202,4.4,8.3,11.0,6.7,96.3,0.0,0.5,4.3
251,20140202,0.6,4.4,6.5,2.8,97.4,0.0,2.0,3.7
252,20140202,2.1,8.2,13.8,5.5,90.0,0.0,0.0,8.3
253,20140202,3.0,10.2,14.5,6.6,85.9,4.9,0.0,7.9
254,20140202,1.2,8.5,16.6,1.9,76.8,6.1,0.1,14.7
255,20140203,3.5,-3.9,1.8,-8.6,43.9,5.5,0.0,10.4
256,20140203,3.7,-2.4,3.6,-7.3,43.6,5.4,0.0,10.9
257,20140203,3.7,5.4,11.1,-3.1,35.5,4.3,0.0,14.2
258,20140203,3.9,3.1,9.1,-4.7,51.4,4.0,0.0,13.8
259,20140203,2.0,-1.6,2.3,-7.4,57.0,5.3,0.0,9.7
260,20140203,2.4,2.5,8.7,-5.2,53.1,4.9,0.0,13.9
261,20140203,3.8,5.4,10.3,-2.2,52.6,4.9,0.0,12.5
262,20140203,4.2,5.7,11.4,-3.3,38.3,5.0,0.0,14.7
263,20140204,1.6,-6.8,-2.3,-10.6,42.6,9.2,0.0,8.3
264,20140204,3.6,-5.8,-3.2,-8.2,50.1,9.3,0.0,4.999999999999999
265,20140204,3.5,-2.8,1.8,-6.1,25.4,9.9,0.0,7.899999999999999
266,20140204,6.0,1.0,2.6,0.1,61.8,2.9,0.0,2.5
267,20140204,2.4,-8.3,-3.0,-11.3,43.4,9.6,0.0,8.3
268,20140204,6.2,-4.7,-3.0,-6.8,47.6,9.1,0.0,3.8
269,20140204,4.7,-2.9,2.0,-6.4,36.9,10.1,0.0,8.4
270,20140204,3.3,-2.8,2.0,-6.6,24.0,9.2,0.0,8.6
271,20140205,2.6,-3.7,0.7,-7.0,38.8,8.4,0.0,7.7
272,20140205,0.9,-4.6,1.0,-9.0,40.9,5.2,0.0,10.0
273,20140205,2.9,-0.6,3.4,-4.1,31.1,5.8,0.0,7.5
274,20140205,2.4,4.8,7.4,1.9,58.8,2.0,0.0,5.5
275,20140205,2.5,-3.4,0.5,-7.1,40.0,4.5,0.0,7.6
276,20140205,2.1,-2.0,2.4,-6.3,27.8,6.6,0.0,8.7
277,20140205,1.6,-5.1,0.1,-9.5,27.3,5.5,0.0,9.6
278,20140205,0.9,-1.0,2.8,-4.1,28.3,3.6,0.0,6.9
279,20140206,3.5,-1.8,1.5,-4.5,46.8,7.0,0.0,6.0
280,20140206,0.7,-2.4,2.5,-7.3,46.1,1.7,0.0,9.8
281,20140206,7.5,1.5,3.5,-1.2,70.8,0.8,5.0,4.7
